C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_31_485.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_31_485.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_31_485.jpg, 0, 0, 0, 8.108023E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_31_588.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_31_588.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_31_588.jpg, 0, 0, 0, 7.814183E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_31_688.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_31_688.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_31_688.jpg, 0, 0, 0, 8.049935E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_31_791.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_31_791.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_31_791.jpg, 0, 0, 0, 7.823012E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_31_894.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_31_894.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_31_894.jpg, 0, 0, 0, 7.932023E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_31_996.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_31_996.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_31_996.jpg, 0, 0, 0, 8.107843E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_100.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_100.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_100.jpg, 0, 0, 0, 8.225809E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_202.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_202.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_202.jpg, 0, 0, 0, 7.827122E-05
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_303.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_303.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_303.jpg, 0, 0.2631063, 0, 0.1806438
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_402.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_402.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_402.jpg, 0, 0.5581104, 0, 0.6631911
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_503.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_503.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_503.jpg, 0, 0.8638316, 0, 1.516949
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_607.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_607.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_607.jpg, -0.1996272, 1, 0, 2.92907
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_708.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_708.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_708.jpg, -0.5024718, 1, 0, 4.083121
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_809.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_809.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_809.jpg, -0.3297441, 1, 0, 5.238973
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_32_913.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_32_913.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_32_913.jpg, -0.1402869, 1, 0, 6.393526
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_33_014.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_33_014.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_33_014.jpg, -0.4449264, 1, 0, 7.50809
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_33_119.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_33_119.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_33_119.jpg, -0.2513344, 1, 0, 8.626319
C:\Users\aky\Documents\IMG\center_2024_09_11_14_19_33_220.jpg, C:\Users\aky\Documents\IMG\left_2024_09_11_14_19_33_220.jpg, C:\Users\aky\Documents\IMG\right_2024_09_11_14_19_33_220.jpg, 0, 1, 0, 9.739809
